X,Y
0.0000,37.3333
0.0274,37.3333
0.0547,37.6722
0.0821,38.0000
0.1095,37.6778
0.1369,37.3611
0.1642,37.3500
0.1916,38.0194
0.2190,38.3778
0.2463,39.0000
0.2737,39.0000
0.3011,39.0000
0.3285,39.0000
0.3558,39.0000
0.3832,39.0000
0.4106,39.0417
0.4379,39.3778
0.4653,39.7611
0.4927,40.3333
0.5201,41.2278
0.5474,41.6667
0.5748,42.5500
0.6022,43.2111
0.6295,42.3333
0.6569,41.8000
0.6843,41.1389
0.7117,40.7389
0.7390,40.3333
0.7664,39.6667
0.7938,39.2528
0.8211,39.0833
0.8485,39.0750
0.8759,39.0667
0.9033,38.8167
0.9306,39.0000
0.9580,38.5278
0.9854,39.1000
1.0127,39.4361
1.0401,39.9833
1.0675,40.6667
1.0949,41.0000
1.1222,41.7722
1.1496,41.7667
1.1770,41.4278
1.2043,40.9667
1.2317,40.5417
1.2591,40.2833
1.2865,39.6667
1.3138,39.6667
1.3412,40.0000
1.3686,39.6667
1.3959,39.6667
1.4233,39.9556
1.4507,40.3333
1.4781,41.0000
1.5054,40.3333
1.5328,40.3333
1.5602,39.4917
1.5875,39.4944
1.6149,39.1639
1.6423,39.3333
1.6697,39.4972
1.6970,39.4944
1.7244,39.6667
1.7518,39.6667
1.7791,40.3333
1.8065,39.9667
1.8339,40.3333
1.8613,41.0000
1.8886,42.3333
1.9160,42.6667
1.9434,42.3333
1.9708,42.0000
1.9981,42.0000
2.0255,41.2056
2.0529,41.0000
2.0802,40.4222
2.1076,39.8806
2.1350,39.6500
2.1624,39.4389
2.1897,39.4444
2.2171,39.6667
2.2445,40.5611
2.2718,40.6667
2.2992,40.6667
2.3266,41.3333
2.3540,40.8556
2.3813,39.6667
2.4087,38.9111
2.4361,37.6667
2.4634,37.6667
2.4908,37.6667
2.5182,38.6667
2.5456,39.3333
2.5729,40.9278
2.6003,42.0000
2.6277,42.6667
2.6550,43.0000
2.6824,43.2722
2.7098,43.3333
2.7372,42.6667
2.7645,42.6667
2.7919,42.6667
2.8193,41.6667
2.8466,41.3333
2.8740,40.6667
2.9014,40.5889
2.9288,39.9639
2.9561,40.0000
2.9835,39.6667
3.0109,39.6667
3.0382,39.6417
3.0656,39.6444
3.0930,39.6472
3.1204,39.6500
3.1477,39.6528
3.1751,39.9778
3.2025,40.6667
3.2298,41.6556
3.2572,40.0056
3.2846,39.3333
3.3120,39.3389
3.3393,38.6944
3.3667,39.6833
3.3941,40.3444
3.4214,41.0139
3.4488,41.7000
3.4762,42.3333
3.5036,42.6444
3.5309,42.2833
3.5583,41.0000
3.5857,40.3944
3.6130,40.0333
3.6404,39.3694
3.6678,39.3333
3.6952,39.3333
3.7225,39.6667
3.7499,39.7139
3.7773,40.0000
3.8046,41.0000
3.8320,41.0000
3.8594,41.6083
3.8868,42.0000
3.9141,42.6028
3.9415,42.6000
3.9689,42.6667
3.9962,42.5222
4.0236,42.1500
4.0510,42.8222
4.0784,44.5750
4.1057,45.3333
4.1331,44.6667
4.1605,44.6667
4.1878,43.6667
4.2152,43.3333
4.2426,43.2361
4.2700,43.0000
4.2973,45.8472
4.3247,46.7222
4.3521,46.9667
4.3794,47.0000
4.4068,46.7889
4.4342,46.5333
4.4616,46.5222
4.4889,46.9111
4.5163,44.2917
4.5437,44.4333
4.5710,45.1167
4.5984,45.8000
4.6258,46.4833
4.6532,46.9722
4.6805,47.3750
