X,Y
0.0000,3.444
0.0274,4.115
0.0547,4.549
0.0821,4.428
0.1095,4.327
0.1369,4.041
0.1642,2.842
0.1916,1.662
0.2190,0.885
0.2463,0.604
0.2737,0.184
0.3011,0.000
0.3285,0.674
0.3558,1.450
0.3832,1.667
0.4106,1.667
0.4379,2.344
0.4653,2.215
0.4927,2.000
0.5201,1.321
0.5474,1.000
0.5748,0.773
0.6022,0.667
0.6295,1.575
0.6569,2.000
0.6843,2.228
0.7117,2.333
0.7390,2.524
0.7664,2.881
0.7938,2.772
0.8211,2.667
0.8485,2.886
0.8759,2.997
0.9033,2.661
0.9306,2.388
0.9580,2.104
0.9854,2.000
1.0127,2.000
1.0401,2.230
1.0675,2.564
1.0949,3.590
1.1222,4.231
1.1496,4.796
1.1770,5.463
1.2043,5.815
1.2317,5.728
1.2591,5.336
1.2865,4.421
1.3138,3.680
1.3412,3.029
1.3686,2.712
1.3959,2.667
1.4233,2.667
1.4507,2.667
1.4781,2.667
1.5054,2.667
1.5328,2.667
1.5602,3.080
1.5875,3.313
1.6149,3.762
1.6423,4.691
1.6697,5.000
1.6970,5.000
1.7244,5.472
1.7518,5.667
1.7791,5.667
1.8065,5.667
1.8339,5.193
1.8613,5.000
1.8886,5.000
1.9160,5.000
1.9434,5.475
1.9708,5.667
1.9981,6.142
2.0255,6.740
2.0529,7.685
2.0802,7.523
2.1076,6.856
2.1350,6.428
2.1624,5.377
2.1897,4.521
2.2171,3.972
2.2445,4.429
2.2718,4.942
2.2992,6.235
2.3266,7.153
2.3540,7.574
2.3813,7.667
2.4087,7.974
2.4361,6.784
2.4634,6.559
2.4908,6.425
2.5182,6.333
2.5456,5.364
2.5729,4.515
2.6003,4.091
2.6277,5.207
2.6550,8.219
2.6824,9.784
2.7098,11.239
2.7372,12.917
2.7645,14.763
2.7919,16.300
2.8193,17.644
2.8466,19.276
2.8740,21.157
2.9014,22.892
2.9288,25.540
2.9561,27.806
2.9835,28.319
3.0109,27.513
3.0382,26.817
3.0656,25.304
3.0930,21.505
3.1204,20.652
3.1477,21.135
3.1751,22.158
3.2025,23.108
3.2298,23.915
3.2572,24.483
3.2846,24.158
3.3120,25.299
