X,Y
0.00000,34.889
0.02737,36.778
0.05474,41.222
0.08211,46.333
0.10949,48.444
0.13686,48.889
0.16423,50.333
0.19160,52.778
0.21897,54.556
0.24634,56.556
0.27372,58.889
0.30109,62.556
0.32846,67.111
0.35583,70.444
0.38320,71.333
0.41057,71.333
0.43794,72.889
0.46532,75.889
0.49269,80.778
0.52006,88.222
0.54743,93.000
0.57480,94.667
0.60217,101.444
0.62955,111.556
0.65692,115.667
0.68429,125.778
0.71166,139.778
0.73903,150.778
0.76640,147.333
0.79377,170.667
0.82115,182.889
0.84852,190.556
0.87589,196.222
0.90326,208.333
0.93063,216.667
0.95800,223.333
0.98538,229.778
1.01275,234.111
1.04012,233.111
1.06749,228.889
1.09486,229.556
1.12223,232.667
1.14960,237.889
1.17698,240.889
1.20435,238.667
1.23172,224.889
1.25909,205.778
1.28646,187.111
1.31383,160.333
1.34121,151.556
1.36858,147.000
1.39595,140.778
1.42332,117.444
1.45069,96.889
1.47806,89.333
1.50543,87.556
1.53281,86.667
1.56018,86.333
1.58755,81.889
1.61492,74.556
1.64229,69.111
1.66966,67.667
1.69704,69.000
1.72441,70.333
1.75178,68.222
1.77915,63.889
1.80652,59.444
1.83389,53.556
1.86126,47.333
1.88864,44.222
1.91601,44.778
1.94338,48.000
1.97075,49.333
