X,Y
0.0000,40.4444
0.0274,40.8925
0.0547,41.4476
0.0821,41.7830
0.1095,41.2398
0.1369,41.0009
0.1642,39.9176
0.1916,38.5904
0.2190,37.3408
0.2463,36.6711
0.2737,36.0050
0.3011,36.6612
0.3285,37.9881
0.3558,38.9903
0.3832,40.3194
0.4106,40.9925
0.4379,41.7999
0.4653,41.9976
0.4927,41.6711
0.5201,40.8276
0.5474,40.3406
0.5748,39.6771
0.6022,39.5143
0.6295,39.3364
0.6569,39.1773
0.6843,39.1725
0.7117,39.0033
0.7390,39.6532
0.7664,39.9928
0.7938,40.6480
0.8211,40.9843
0.8485,40.9878
0.8759,40.5037
0.9033,40.3372
0.9306,39.6836
0.9580,39.6667
0.9854,40.1688
1.0127,40.0051
1.0401,39.3911
1.0675,39.0110
1.0949,38.3532
1.1222,38.7068
1.1496,38.9913
1.1770,39.0000
1.2043,39.0000
1.2317,39.0000
1.2591,39.6438
1.2865,40.6316
1.3138,41.7078
1.3412,41.9909
1.3686,41.7636
1.3959,41.1171
1.4233,41.0957
1.4507,41.0039
1.4781,41.4194
1.5054,41.6574
1.5328,41.9861
1.5602,42.0000
1.5875,42.0000
1.6149,41.7994
1.6423,41.2556
1.6697,40.6924
1.6970,39.9365
1.7244,39.8107
1.7518,39.9909
1.7791,40.0000
1.8065,39.3661
1.8339,39.3333
1.8613,38.3840
1.8886,38.8851
1.9160,39.3116
1.9434,39.3333
1.9708,40.5951
1.9981,41.2970
2.0255,41.9632
2.0529,42.6294
2.0802,43.2956
2.1076,43.3333
2.1350,43.6473
2.1624,43.6054
2.1897,43.2901
2.2171,42.7607
2.2445,42.0999
2.2718,42.0035
2.2992,41.4785
2.3266,41.3401
2.3540,40.7094
2.3813,40.6667
2.4087,40.3552
2.4361,40.3333
2.4634,40.7250
2.4908,41.3322
2.5182,41.7197
2.5456,42.2923
2.5729,42.3333
2.6003,42.0236
2.6277,41.1007
2.6550,40.7201
2.6824,40.1014
2.7098,40.5742
2.7372,40.0895
2.7645,40.3114
2.7919,40.6413
2.8193,40.9583
2.8466,41.6138
2.8740,41.6667
2.9014,42.2806
2.9288,41.7372
2.9561,41.3682
2.9835,41.3338
3.0109,41.0273
3.0382,40.3885
3.0656,40.0278
3.0930,39.9954
3.1204,40.2960
3.1477,40.9181
3.1751,40.9739
3.2025,40.9782
3.2298,41.2905
3.2572,41.6095
3.2846,41.9374
3.3120,41.9799
3.3393,42.2641
3.3667,42.5914
3.3941,42.6179
3.4214,42.6140
3.4488,42.6100
3.4762,43.2645
3.5036,44.8409
3.5309,45.3013
3.5583,44.7313
3.5857,44.2968
3.6130,43.6881
3.6404,43.3241
3.6678,42.9891
3.6952,42.9953
3.7225,42.6609
3.7499,46.5540
3.7773,50.4011
3.8046,52.6804
3.8320,51.9380
3.8594,48.4386
3.8868,46.7575
3.9141,45.4689
3.9415,45.5736
3.9689,45.8389
3.9962,46.8763
4.0236,48.2967
4.0510,49.4042
4.0784,50.8025
4.1057,51.3842
4.1331,51.5205
4.1605,49.2030
4.1878,49.2127
4.2152,48.8799
4.2426,49.1989
4.2700,49.5399
4.2973,51.5574
4.3247,54.7060
4.3521,57.0678
4.3794,57.6670
4.4068,55.7740
4.4342,56.4091
4.4616,58.4540
4.4889,59.5876
4.5163,56.7748
4.5437,55.5880
4.5710,56.1379
4.5984,55.0465
4.6258,55.6278
4.6532,56.1039
4.6805,53.3295
4.7079,50.3031
4.7353,49.0607
4.7626,50.2251
4.7900,52.1541
4.8174,51.7210
4.8448,49.8747
4.8721,50.5257
4.8995,54.9993
4.9269,59.7069
4.9542,60.3333
4.9816,57.3783
5.0090,55.2244
5.0364,55.5235
5.0637,56.0349
5.0911,56.8399
5.1185,56.1188
5.1458,55.0100
5.1732,55.4864
5.2006,56.8744
5.2280,59.0113
5.2553,64.0641
5.2827,62.6779
5.3101,60.2986
5.3374,59.4108
5.3648,57.9215
5.3922,57.9561
5.4196,59.4041
5.4469,60.9226
5.4743,60.5730
5.5017,62.1678
5.5290,64.0079
5.5564,65.2768
5.5838,64.7858
5.6112,62.5965
5.6385,60.2892
5.6659,58.6978
5.6933,61.2199
5.7207,60.5419
5.7480,59.5980
5.7754,58.3159
5.8028,57.7913
5.8301,60.9907
5.8575,65.6272
5.8849,65.8668
5.9123,65.0298
5.9396,65.2829
5.9670,66.8877
5.9944,68.7691
6.0217,69.5561
6.0491,68.8024
6.0765,65.8248
6.1039,63.7562
6.1312,67.2215
6.1586,69.7082
6.1860,68.7464
6.2133,63.3181
6.2407,58.7231
6.2681,58.9667
6.2955,61.3529
6.3228,63.4261
6.3502,65.5287
6.3776,65.6874
6.4049,65.3792
6.4323,68.0370
6.4597,72.0227
6.4871,73.6405
6.5144,69.3740
6.5418,64.2826
6.5692,63.9665
6.5965,64.3648
6.6239,64.8953
6.6513,66.4442
6.6787,66.8705
6.7060,66.8802
6.7334,65.0674
6.7608,62.7402
6.7881,64.0907
6.8155,65.7912
6.8429,65.8519
6.8703,63.3463
6.8976,61.0563
6.9250,61.0613
6.9524,62.0847
6.9797,62.9092
7.0071,59.2251
7.0345,58.2395
7.0619,58.2469
7.0892,57.4615
7.1166,56.1698
7.1440,54.4509
7.1713,56.2269
7.1987,60.1290
7.2261,61.6713
7.2535,60.5467
7.2808,58.7161
7.3082,58.0727
7.3356,59.2445
7.3629,61.0725
7.3903,61.7114
7.4177,61.7932
7.4451,58.2711
7.4724,58.1375
7.4998,58.3078
7.5272,57.5745
7.5545,58.9460
7.5819,60.1185
7.6093,57.1500
7.6367,52.3734
7.6640,51.0561
7.6914,51.4971
7.7188,51.6620
7.7461,50.6959
7.7735,50.2139
7.8009,49.6628
7.8283,51.0686
7.8556,53.5126
7.8830,51.4108
7.9104,47.7793
7.9377,45.3948
7.9651,46.2769
7.9925,46.3219
8.0199,45.1829
8.0472,46.5360
8.0746,51.0213
8.1020,54.3979
8.1293,53.0034
8.1567,50.0247
8.1841,46.8685
8.2115,45.3281
8.2388,44.7168
8.2662,45.1116
8.2936,45.6110
8.3209,46.5247
8.3483,46.0748
8.3757,44.4286
8.4031,43.2318
8.4304,42.1776
8.4578,41.1215
8.4852,41.5066
8.5125,41.9271
8.5399,42.0000
8.5673,42.2043
8.5947,42.0619
8.6220,42.0000
8.6494,41.4904
8.6768,40.8243
8.7041,40.2167
8.7315,40.2728
8.7589,40.6486
8.7863,40.9400
8.8136,41.4422
8.8410,42.2732
8.8684,42.7420
8.8957,43.0023
8.9231,43.0552
8.9505,43.1208
8.9779,43.1399
9.0052,43.1360
9.0326,42.8571
9.0600,42.7693
9.0873,43.1942
9.1147,43.5738
9.1421,44.1654
9.1695,44.1663
9.1968,43.5286
9.2242,43.3333
9.2516,43.0840
9.2789,42.5905
9.3063,42.0462
9.3337,41.7290
9.3611,41.2000
9.3884,40.7638
9.4158,40.6667
9.4432,40.6667
9.4706,40.9140
9.4979,41.0000
9.5253,41.2916
9.5527,41.5946
9.5800,41.6667
9.6074,41.6667
9.6348,41.4536
9.6622,40.9905
9.6895,40.7155
9.7169,40.4216
9.7443,40.4663
9.7716,40.2677
9.7990,40.2765
9.8264,40.3167
9.8538,40.5738
9.8811,40.6667
9.9085,40.9066
9.9359,41.2429
9.9632,41.3333
9.9906,41.2199
10.0180,41.2924
10.0454,41.2178
10.0727,41.1762
10.1001,41.2907
10.1275,41.3333
10.1548,41.3333
10.1822,41.3333
10.2096,41.0927
10.2370,40.7596
10.2643,40.4265
10.2917,40.2317
10.3191,39.7149
10.3464,39.2901
10.3738,39.1981
10.4012,39.2001
10.4286,39.2021
10.4559,39.1506
10.4833,39.0364
10.5107,38.5242
10.5380,38.3333
10.5654,38.5061
10.5928,38.8765
10.6202,39.1668
10.6475,39.2307
10.6749,39.2267
10.7023,39.5372
10.7296,39.5119
10.7570,39.4519
10.7844,39.6047
10.8118,39.9911
10.8391,40.2734
10.8665,40.7326
10.8939,40.9711
10.9212,41.2682
10.9486,42.4122
10.9760,42.8496
11.0034,42.3788
11.0307,41.8194
11.0581,41.2008
11.0855,40.4181
11.1128,39.5299
11.1402,39.0770
11.1676,38.5362
11.1950,38.2808
11.2223,38.2598
11.2497,38.0802
11.2771,38.0000
11.3044,38.0000
11.3318,38.0000
11.3592,38.0000
11.3866,38.0425
11.4139,38.0186
11.4413,38.2294
11.4687,38.3333
11.4960,38.5623
11.5234,38.7376
11.5508,39.4514
11.5782,40.1532
11.6055,40.3333
11.6329,40.3333
11.6603,40.3333
11.6876,40.3333
11.7150,39.8794
11.7424,39.6667
11.7698,39.6667
11.7971,39.6667
11.8245,39.6262
11.8519,39.6110
11.8792,40.0659
11.9066,40.2856
11.9340,40.7395
11.9614,40.9602
11.9887,40.9763
12.0161,40.9841
12.0435,40.9954
12.0708,41.0000
12.0982,41.0000
12.1256,40.7821
12.1530,40.6686
12.1803,40.4466
12.2077,40.3340
12.2351,40.3333
