X,Y
0.00000,39.2963
0.02737,39.3333
0.05474,39.3333
0.08211,39.3333
0.10949,39.6296
0.13686,40.0741
0.16423,40.5185
0.19160,40.6667
0.21897,41.0370
0.24634,41.2963
0.27372,41.4815
0.30109,41.7778
0.32846,42.0370
0.35583,41.9630
0.38320,41.2963
0.41057,40.7778
0.43794,40.8889
0.46532,41.2963
0.49269,42.0370
0.52006,42.3333
0.54743,42.4074
0.57480,42.5926
0.60217,42.4444
0.62955,42.5556
0.65692,42.6667
0.68429,42.9630
0.71166,43.2593
0.73903,43.4815
0.76640,43.6296
0.79377,43.9630
0.82115,45.5185
0.84852,46.0741
0.87589,44.6667
0.90326,44.5185
0.93063,47.5185
0.95800,50.0741
0.98538,51.8519
1.01275,55.0370
1.04012,61.0000
1.06749,64.5926
1.09486,66.5556
1.12223,67.9630
1.14960,68.1111
1.17698,67.3333
1.20435,65.8889
1.23172,64.6667
1.25909,64.2593
1.28646,63.3333
1.31383,59.7778
1.34121,56.1481
1.36858,54.9630
1.39595,54.5185
1.42332,51.3704
1.45069,47.8889
1.47806,45.2593
1.50543,43.9259
1.53281,42.9259
1.56018,42.7778
1.58755,43.2593
1.61492,43.2963
1.64229,42.8519
1.66966,42.2222
1.69704,42.7407
1.72441,43.2593
1.75178,42.8889
1.77915,42.2222
1.80652,41.7778
1.83389,41.2222
1.86126,40.5556
1.88864,40.3333
1.91601,40.1111
1.94338,40.0000
1.97075,39.7778
1.99812,39.7407
2.02549,39.6296
2.05287,39.5556
2.08024,39.3333
2.10761,39.2963
2.13498,40.2222
2.16235,40.6667
2.18972,40.6667
2.21709,40.3704
2.24447,39.7778
2.27184,39.4074
2.29921,39.1111
2.32658,38.7037
2.35395,38.5556
2.38132,38.8519
2.40869,39.2222
