X,Y
0.00000,42.6667
0.02737,42.6667
0.05474,42.6667
0.08211,42.0000
0.10949,40.6667
0.13686,40.6667
0.16423,40.6667
0.19160,40.6667
0.21897,41.0000
0.24634,41.0000
0.27372,40.6667
0.30109,41.0000
0.32846,41.0000
0.35583,40.6667
0.38320,40.6667
0.41057,40.3333
0.43794,41.0000
0.46532,40.6667
0.49269,40.6667
0.52006,40.6667
0.54743,40.6667
0.57480,40.6667
0.60217,40.6667
0.62955,40.6667
0.65692,40.6667
0.68429,40.6667
0.71166,41.0000
0.73903,41.0000
0.76640,41.0000
0.79377,41.3333
0.82115,41.6667
0.84852,42.3333
0.87589,42.3333
0.90326,42.6667
0.93063,42.6667
0.95800,42.3333
0.98538,42.6667
1.01275,42.6667
1.04012,43.3333
1.06749,43.6667
1.09486,44.3333
1.12223,44.3333
1.14960,45.0000
1.17698,44.6667
1.20435,46.6667
1.23172,44.3333
1.25909,45.0000
1.28646,47.0000
1.31383,52.6667
1.34121,58.6667
1.36858,63.3333
1.39595,64.3333
1.42332,66.0000
1.45069,68.0000
1.47806,70.3333
1.50543,70.0000
1.53281,68.6667
1.56018,66.0000
1.58755,63.3333
1.61492,61.3333
1.64229,62.0000
1.66966,54.0000
1.69704,47.3333
1.72441,45.3333
1.75178,46.3333
1.77915,45.6667
1.80652,43.6667
1.83389,41.6667
1.86126,40.3333
1.88864,39.6667
1.91601,39.6667
1.94338,39.6667
1.97075,39.6667
1.99812,39.6667
2.02549,39.6667
2.05287,39.3333
2.08024,40.0000
2.10761,40.3333
2.13498,40.0000
2.16235,39.6667
2.18972,40.0000
2.21709,39.6667
2.24447,39.3333
2.27184,39.3333
2.29921,39.6667
2.32658,39.3333
2.35395,40.0000
2.38132,40.3333
2.40869,40.6667
2.43607,41.0000
2.46344,41.6667
2.49081,41.3333
2.51818,41.6667
2.54555,42.3333
2.57292,42.3333
2.60030,42.3333
2.62767,42.3333
2.65504,41.6667
2.68241,42.3333
2.70978,42.0000
2.73715,41.6667
2.76452,41.6667
2.79190,41.6667
2.81927,41.6667
2.84664,41.3333
2.87401,41.3333
2.90138,41.3333
2.92875,41.3333
2.95613,41.3333
